"ID_CHARACTER","ID_SCENE","ID_PLACE","ID_DIALOGUE","SENTIMENT_AFINN","DIALOGUE_LENGTH","LOVE_COUNT","INSERTED_AT","UPDATED_AT"
"139","2","8","45","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","10","42","207","1.0","5","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"14","9","71","191","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","12","36","246","0.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"31","3","8","75","1.0","8","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"140","10","42","206","0.0","5","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","10","42","212","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","10","42","214","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"3","10","42","222","-3.0","11","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","11","33","233","0.0","12","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"3","12","36","245","-1.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"128","12","36","255","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","10","42","213","6.0","42","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"4","13","36","267","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"47","13","36","279","-3.0","13","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"14","15","63","371","-7.0","11","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","16","59","378","0.0","13","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"3","16","59","382","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"3","16","59","393","0.0","8","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"59","17","26","429","2.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","18","34","448","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","18","34","459","-2.0","11","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"5","21","40","541","-2.0","34","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","21","39","554","0.0","5","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","24","40","661","-5.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"106","44","36","1160","0.0","10","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"1","46","40","1218","-3.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"13","109","30","2886","-1.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"21","2","8","24","0.0","6","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"138","18","36","439","0.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","27","59","747","0.0","4","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"46","17","52","413","-5.0","24","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"3","18","34","456","0.0","3","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","38","17","988","-2.0","11","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"26","41","71","1079","0.0","7","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"155","42","67","1121","0.0","1","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","46","40","1219","-3.0","2","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"2","38","17","993","-2.0","12","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"24","65","25","1768","-2.0","22","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"12","86","19","2282","4.0","28","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"4","23","65","596","9.0","55","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
"4","43","49","1139","2.0","32","0","2024-05-21 14:58:42","2024-05-21 14:58:42"
